iter	Passed	Remaining
780	1015	284
781	1017	283
782	1018	282
783	1019	280
784	1020	279
785	1022	278
786	1023	277
787	1024	275
788	1026	274
789	1027	273
790	1028	271
791	1030	270
792	1031	269
793	1032	267
794	1034	266
795	1035	265
796	1036	264
797	1038	262
798	1039	261
799	1040	260
800	1042	258
801	1043	257
802	1046	256
803	1047	255
804	1048	254
805	1050	252
806	1051	251
807	1053	250
808	1054	249
809	1056	247
810	1057	246
811	1059	245
812	1060	243
813	1061	242
814	1063	241
815	1064	240
816	1066	238
817	1067	237
818	1069	236
819	1070	235
820	1072	233
821	1073	232
822	1075	231
823	1076	229
824	1077	228
825	1079	227
826	1080	226
827	1082	224
828	1083	223
829	1085	222
830	1086	221
831	1088	219
832	1089	218
833	1090	217
834	1092	215
835	1093	214
836	1095	213
837	1096	211
838	1098	210
839	1099	209
840	1100	208
841	1102	206
842	1103	205
843	1105	204
844	1106	202
845	1108	201
846	1109	200
847	1111	199
848	1112	197
849	1113	196
850	1115	195
851	1116	193
852	1118	192
853	1119	191
854	1121	190
855	1122	188
856	1124	187
857	1125	186
858	1127	185
859	1128	183
860	1129	182
861	1131	181
862	1132	179
863	1134	178
864	1135	177
865	1137	175
866	1138	174
867	1140	173
868	1141	172
869	1142	170
870	1144	169
871	1145	168
872	1147	166
873	1148	165
874	1150	164
875	1151	163
876	1153	161
877	1154	160
878	1156	159
879	1157	157
880	1158	156
881	1160	155
882	1161	153
883	1163	152
884	1164	151
885	1166	150
886	1167	148
887	1169	147
888	1170	146
889	1171	144
890	1173	143
891	1174	142
892	1176	140
893	1177	139
894	1179	138
895	1180	137
896	1181	135
897	1183	134
898	1184	133
899	1186	131
900	1187	130
901	1189	129
902	1190	127
903	1192	126
904	1193	125
905	1196	124
906	1198	122
907	1199	121
908	1201	120
909	1202	118
910	1204	117
911	1205	116
912	1207	115
913	1209	113
914	1210	112
915	1212	111
916	1214	109
917	1215	108
918	1217	107
919	1218	105
920	1221	104
921	1222	103
922	1224	102
923	1226	100
924	1227	99
925	1229	98
926	1231	96
927	1233	95
928	1234	94
929	1236	93
930	1238	91
931	1239	90
932	1241	89
933	1243	87
934	1244	86
935	1246	85
936	1247	83
937	1249	82
938	1251	81
939	1252	79
940	1254	78
941	1255	77
942	1257	75
943	1258	74
944	1259	73
945	1261	72
946	1263	70
947	1265	69
948	1267	68
949	1268	66
950	1270	65
951	1272	64
952	1273	62
953	1275	61
954	1277	60
955	1278	58
956	1280	57
957	1281	56
958	1282	54
959	1284	53
960	1285	52
961	1287	50
962	1288	49
963	1290	48
964	1291	46
965	1292	45
966	1294	44
967	1295	42
968	1297	41
969	1298	40
970	1300	38
971	1301	37
972	1303	36
973	1304	34
974	1305	33
975	1307	32
976	1308	30
977	1310	29
978	1311	28
979	1312	26
980	1314	25
981	1315	24
982	1317	22
983	1318	21
984	1320	20
985	1321	18
986	1323	17
987	1324	16
988	1326	14
989	1327	13
990	1328	12
991	1330	10
992	1331	9
993	1333	8
994	1334	6
995	1336	5
996	1337	4
997	1339	2
998	1340	1
999	1341	0
